[DEBUG] ble start
create Ble_Task_Handle
Ble Task started
14304	16128	14720	17376	14336	18976	15680	18624	
17696	16320	18720	15008	19328	15680	17536	17632	
2783	-7104	5311	-6304	7871	-5248	8127	-5280	
8543	-6144	9087	-6368	6463	-6688	2783	-7456	
2303	-8128	2175	-8992	0447	-10624	0351	-17889	
-2465	-17889	-3297	-19169	-3233	-18305	-4385	-17057	
-4545	-17985	-3361	-18753	-2689	-18209	-1633	-16961	
-449	-6209	-1473	-8769	-2209	-9409	-2465	-7361	
-1537	-6049	-2465	-5441	-3713	-3873	-2369	-2753	
-1025	-2817	-1121	-1985	-321	-2369	-5697	-2465	
-5185	-1665	-4577	-1313	-4449	-1153	-4193	-417	
-3489	-129	-3329	-705	-4289	-1601	-4993	-2081	
-5281	8255	-1760	7711	-2656	7391	-4768	7967	
-6560	8223	-7008	8063	-6656	7999	-6112	7391	
-6144	6975	-6368	6687	-5824	6559	-5344	15648	
1568	13664	0256	11455	-1376	9503	-1760	7455	
-1408	5695	-2144	5087	-2304	5151	-1120	5983	
-544	7967	-256	8864	4864	3552	4512	4448	
4288	4416	3648	3456	2944	2688	2656	2976	
2112	3232	1952	2848	3008	2496	3968	2656	
3680	3392	3104	4000	-1409	-2817	-1249	-3281	
-1057	-3521	-993	-3809	-897	-4097	-993	-3857	
-1041	-3409	-1089	-2913	-1793	-2401	-2353	-2337	
2783	-3008	2975	-2448	3999	-2640	5023	-2640	
5119	-2144	4543	-2304	4239	-3200	4687	-3824	
4927	-4224	4207	-4800	3151	-4656	0127	-304	
0055	-057	-320	0127	-504	0279	-504	0311	
-704	0223	-800	0215	-528	0111	-201	-056	
0072	0160	0560	0536	1000	-225	-441	-121	
-241	-273	-417	-465	-433	-201	-232	0055	
-376	0151	-728	0559	-896	0711	-1024	0367	
-1152	0559	-1088	0959	-584	0239	-528	0175	
-760	0367	-1000	0983	-1128	1175	-1040	1015	
-992	1247	-1040	1575	-1008	1559	-992	1591	
-1160	1759	-1208	0475	-172	0427	-192	0267	
-212	0243	-224	0343	-332	0379	-436	0339	
-492	0343	-564	0311	-572	0211	-432	0235	
-308	0391	0010	0149	-006	0067	-142	0017	
-311	-107	-355	-213	-343	-173	-311	-143	
-235	-199	-221	-169	-307	-141	-399	-257	
-501	-247	-565	-117	-399	-069	-205	-191	
-093	-361	-161	-373	-271	-283	-237	-339	
-241	-515	-393	-635	-491	-761	-561	-1035	
-691	-100	0693	-002	0594	0406	0532	0530	
0550	0344	0734	0370	0800	0594	0806	0514	
0926	0246	0896	0300	0736	0556	0622	0608	
0260	0580	0166	0626	0148	0464	0138	0539	
